1637233339.318,1637233339.318,7110216,fork,429527,Process::hello.sh,499737,Process::hello.sh
1637233339.322,1637233339.322,7106593,execve,499737,Process::hello.sh,499739,Process::cp
1637233339.322,1637233339.322,5040384,open,1120,Artifact::file::/etc/ld.so.cache,499739,Process::cp
1637233339.322,1637233339.322,7117387,load,38540,Artifact::file::/usr/bin/cp,499739,Process::cp
1637233339.326,1637233339.326,6545764,create,499739,Process::cp,499908,Artifact::file::/home/admin/doc/_7s_Lucene84_0.doc
1637233341.239,1637233341.239,7110179,fork,429527,Process::hello.sh,501607,Process::hello.sh
1637233341.239,1637233341.239,7106595,execve,501607,Process::hello.sh,501609,Process::cp
1637233341.239,1637233341.239,7117392,load,38540,Artifact::file::/usr/bin/cp,501609,Process::cp
1637233341.243,1637233341.243,6545766,create,501609,Process::cp,501757,Artifact::file::/home/admin/doc/text.doc
1637233341.243,1637233341.243,5046496,open,16391,Artifact::file::/lib/x86_64-linux-gnu/libpthread.so.0,501609,Process::cp
